RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
190,Bengals D/ST,Cin,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,41.4,-1.3,98.3,5.8,163.3,163.3,16
191,Jake Elliott,Phi,K,0/0,0,0,0,0,0,0,0,0,0,0,23.4,2.1,126,7.4,164.3,164.3,16
192,Cade York,Cle,K,0/0,0,0,0,0,0,0,0,0,0,0,8.1,0.7,124.9,7.3,168.3,168.3,16
193,Van Jefferson,LAR,WR,0/0,0,0,0,4,27,0,48,703,5,84,10.5,-0.6,154.7,9.7,167.8,167.8,17
194,Mark Ingram II,NO,RB,0/0,0,0,0,125,482,4,16,113,0,21,8.6,0.2,101.5,7.3,164.8,164.8,17
195,Rachaad White,TB,RB,0/0,0,0,0,69,292,2,19,146,1,26,3.5,0.1,81.6,5.4,169.4,169.4,17
196,Chris Carson,Sea,RB,--/--,--,--,--,--,--,--,--,--,--,--,20.5,-3,0,--,169.6,169.6,17
197,Rex Burkhead,Hou,RB,0/0,0,0,0,61,236,2,37,289,2,49,6.9,-0.9,112.1,8,#N/A,#N/A,17
198,Darrel Williams,Ari,RB,0/0,0,0,0,77,314,3,26,222,1,34,3.9,0.5,107.9,7.2,169,169,17
199,Damien Williams,Atl,RB,0/0,0,0,0,82,358,2,24,189,1,32,2,0.1,100.8,7.2,#N/A,#N/A,17
200,Jerick McKinnon,KC,RB,0/0,0,0,0,32,139,1,30,253,2,41,0.9,0.6,87.5,6.7,169.5,169.5,17
201,Kenneth Gainwell,Phi,RB,0/0,0,0,0,75,324,3,25,192,1,34,3.9,-0.1,99.6,6.6,#N/A,#N/A,17
202,Brian Robinson Jr.,Wsh,RB,0/0,0,0,0,98,415,4,12,88,0,16,3,0.1,91.7,6.1,#N/A,#N/A,17
203,Velus Jones Jr.,Chi,WR,0/0,0,0,0,4,25,0,49,608,3,79,2.9,0,136.2,8.5,#N/A,#N/A,17
204,DJ Chark Jr.,Det,WR,0/0,0,0,0,0,0,0,40,592,4,73,18.7,-2.1,125.4,8.4,169.1,169.1,17
205,A.J. Green,Ari,WR,0/0,0,0,0,0,0,0,38,524,4,67,4,0,113.6,7.6,169.2,169.2,18
206,Khalil Herbert,Chi,RB,0/0,0,0,0,90,389,3,17,119,1,21,3.8,-0.1,87.1,5.8,169.7,169.7,18
207,Sony Michel,Mia,RB,0/0,0,0,0,115,473,3,8,60,0,12,3,-0.1,83.8,5.6,169.7,169.7,18
208,Samaje Perine,Cin,RB,0/0,0,0,0,65,279,2,22,154,1,28,1.9,0,83.3,5.6,#N/A,#N/A,18
209,Dontrell Hilliard,Ten,RB,0/0,0,0,0,38,171,1,29,198,1,37,1.7,0,77.4,5.2,#N/A,#N/A,18
210,Matt Breida,NYG,RB,0/0,0,0,0,67,315,1,14,99,1,17,1.5,0,67,4.5,#N/A,#N/A,18
211,Boston Scott,Phi,RB,0/0,0,0,0,70,307,3,7,55,0,10,1.6,0,65.1,4.3,#N/A,#N/A,18
212,Chuba Hubbard,Car,RB,0/0,0,0,0,64,250,2,13,89,0,17,4.5,0,59.5,4,169.6,169.6,18
213,Ke'Shawn Vaughn,TB,RB,0/0,0,0,0,77,325,3,5,34,0,7,2.7,-0.2,59.6,4,#N/A,#N/A,18
214,Evan Engram,Jax,TE,0/0,0,0,0,0,0,0,51,573,3,83,9,-0.2,124.6,8.3,168.1,168.1,18
215,Daniel Jones,NYG,QB,335/531,3733,20,12,79,412,3,0,0,0,0,5.3,0.3,241.1,15.1,169,169,18
216,Nico Collins,Hou,WR,0/0,0,0,0,0,0,0,50,649,3,84,2.2,-0.1,136.2,8.5,#N/A,#N/A,18
217,Cedrick Wilson,Mia,WR,0/0,0,0,0,0,0,0,51,610,4,77,2,0,135.8,8.5,#N/A,#N/A,19
218,Corey Davis,NYJ,WR,0/0,0,0,0,0,0,0,44,570,3,75,13.8,-2,121.7,8.1,#N/A,#N/A,19
219,Carson Wentz,Wsh,QB,337/525,3748,24,10,57,224,2,0,0,0,0,8,-0.3,244.6,15.3,168.2,168.2,19
220,Ryan Tannehill,Ten,QB,335/511,3639,22,14,54,256,5,0,0,0,0,8.9,-0.4,246.5,15.4,168.7,168.7,19
221,Eagles D/ST,Phi,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,25.4,-0.9,97.2,5.7,164.6,164.6,19
222,Patriots D/ST,NE,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,24.6,0,93,5.5,162.8,162.8,19
223,Ryan Succop,TB,K,0/0,0,0,0,0,0,0,0,0,0,0,14.1,0.4,124.6,7.3,167.2,167.2,19
224,Robbie Gould,SF,K,0/0,0,0,0,0,0,0,0,0,0,0,7,0.2,124,7.3,168,168,19
225,K.J. Osborn,Min,WR,0/0,0,0,0,0,0,0,45,560,4,74,2.7,-0.1,125.1,7.8,#N/A,#N/A,19
226,Dee Eskridge,Sea,WR,0/0,0,0,0,8,52,0,38,464,3,62,1.2,-0.1,106.4,6.6,#N/A,#N/A,19
227,Sammy Watkins,GB,WR,0/0,0,0,0,2,13,0,32,420,3,51,4.3,0.1,93.5,6.7,169.3,169.3,19
228,Sterling Shepard,NYG,WR,0/0,0,0,0,0,0,0,35,358,2,52,2.2,-0.1,81.8,9.1,#N/A,#N/A,19
230,Randall Cobb,GB,WR,0/0,0,0,0,2,12,0,39,454,5,57,4.6,-0.4,114.4,8.2,#N/A,#N/A,20
231,Nick Westbrook-Ikhine,Ten,WR,0/0,0,0,0,0,0,0,46,572,3,74,1.2,0,123.5,7.7,#N/A,#N/A,20
232,Wan'Dale Robinson,NYG,WR,0/0,0,0,0,8,48,0,48,537,2,73,2.2,0,123.4,7.7,#N/A,#N/A,20
233,Devin Duvernay,Bal,WR,0/0,0,0,0,10,65,0,40,448,3,61,1.6,0,114.6,7.2,#N/A,#N/A,20
234,Bryan Edwards,Atl,WR,0/0,0,0,0,0,0,0,35,484,3,59,1.6,0,98.8,6.2,#N/A,#N/A,20
235,Chris Evans,Cin,RB,0/0,0,0,0,32,140,1,17,128,1,22,1.3,0,56.7,3.8,#N/A,#N/A,20
236,Hassan Haskins,Ten,RB,0/0,0,0,0,43,179,1,12,88,0,16,1.7,0,48.6,3.2,#N/A,#N/A,20
237,D'Onta Foreman,Car,RB,0/0,0,0,0,56,237,1,9,63,0,11,2,0,48.7,3.2,#N/A,#N/A,20
238,Ameer Abdullah,LV,RB,0/0,0,0,0,8,32,0,8,63,0,11,0.7,0,22.3,1.5,#N/A,#N/A,20
239,Zamir White,LV,RB,0/0,0,0,0,71,295,3,9,66,0,12,2.7,0,63.3,4.2,#N/A,#N/A,20
240,Gary Brightwell,NYG,RB,0/0,0,0,0,39,168,1,9,62,0,11,0.3,0,41.8,2.8,#N/A,#N/A,20
241,Craig Reynolds,Det,RB,0/0,0,0,0,33,139,1,10,74,0,13,0.5,0,40.5,2.7,#N/A,#N/A,21
242,Giovani Bernard,TB,RB,0/0,0,0,0,20,79,1,15,98,1,19,0.7,0,40.4,2.7,#N/A,#N/A,21
243,Jameis Winston,NO,QB,309/485,3522,23,13,71,334,2,0,0,0,0,10.7,0.4,236.7,14.8,167.8,167.8,21
244,Mac Jones,NE,QB,351/538,3771,23,13,47,155,0,0,0,0,0,12.5,-0.2,221.1,13.8,165.8,165.8,21
245,Jared Goff,Det,QB,354/544,3772,25,11,27,78,1,0,0,0,0,2.8,0,229.3,14.3,169.4,169.4,21
246,Albert Okwuegbunam,Den,TE,0/0,0,0,0,0,0,0,50,509,5,67,10.8,-0.2,129.8,8.1,166.9,166.9,21
247,Gerald Everett,LAC,TE,0/0,0,0,0,0,0,0,51,516,4,73,5.9,0.1,129.5,8.1,168.8,168.8,21
248,Austin Hooper,Ten,TE,0/0,0,0,0,0,0,0,47,458,4,69,4,-0.1,116.9,7.8,168.9,168.9,21
249,Hayden Hurst,Cin,TE,0/0,0,0,0,0,0,0,44,444,4,62,3.5,0,109.9,6.9,168.8,168.8,21
